frame,color_b,color_g,color_r
frame_0358_1747779401186671774.png,0,0,255
frame_0367_1747779401985137630.png,0,60,255
frame_0393_1747779403392670744.png,0,120,255
frame_0402_1747779403968837053.png,0,180,255
frame_0408_1747779404190237961.png,0,240,255
frame_0412_1747779404443201439.png,0,255,204
frame_0420_1747779404987242546.png,0,255,144
frame_0427_1747779405351389089.png,0,255,84
frame_0430_1747779405692541335.png,0,255,24
frame_0440_1747779406193944789.png,36,255,0
frame_0448_1747779406504253190.png,102,255,0
frame_0454_1747779406793806740.png,162,255,0
frame_0460_1747779407228387161.png,222,255,0
frame_0474_1747779407872395478.png,255,228,0
frame_0510_1747779409458038946.png,255,168,0
frame_0518_1747779409693713200.png,255,102,0
frame_0527_1747779410024762722.png,255,42,0
frame_0535_1747779410528063945.png,255,0,18
frame_0545_1747779411099938647.png,255,0,78
frame_0557_1747779411610579362.png,255,0,138
frame_0563_1747779411846644755.png,255,0,204
frame_0568_1747779412125443605.png,244,0,253
frame_0576_1747779412421189814.png,186,0,255
frame_0585_1747779412787279630.png,126,0,255
frame_0601_1747779413758976523.png,66,0,255
